[2026-06-13 05:38:31.987828] Shady Taro(8994960871) → 103.160.2.29:1222 | MIXED_TCP | 120s
[2026-06-13 05:38:32.905813] Shady Taro(8994960871) → 103.160.2.29:1222 | MIXED_TCP | 1000s
[2026-06-13 05:39:47.526322] Shady Taro(8994960871) → 103.160.2.29:1222 | MIXED_TCP | 1000s
[2026-06-13 05:41:23.412915] Shady Taro(8994960871) → 50.7.23.74:80 | MIXED_TCP | 300s
[2026-06-13 05:44:23.918777] Shady Taro(8994960871) → 50.7.23.74:22 | MIXED_TCP | 300s
[2026-06-13 05:45:11.107588] Shady Taro(8994960871) → 103.160.2.29:1222 | MIXED_TCP | 1000s
[2026-06-13 14:28:11.404716] Shady Taro(8994960871) → 157.66.47.37:8001 | MIXED_TCP | 100s
[2026-06-13 14:28:11.418479] Shady Taro(8994960871) → 50.7.23.74:22 | L4_UDP | 120s
[2026-06-13 14:29:05.929090] Shady Taro(8994960871) → 36.50.135.58:3389 | L4_UDP | 300s
[2026-06-13 14:30:00.374582] Shady Taro(8994960871) → 50.7.23.74:22 | L4_UDP | 300s
[2026-06-13 14:30:53.258596] Shady Taro(8994960871) → 50.7.23.74:22 | MIXED_TCP | 300s
[2026-06-13 14:33:44.460557] Shady Taro(8994960871) → 36.50.135.58:80 | MIXED_TCP | 120s
[2026-06-13 14:35:16.091024] Shady Taro(8994960871) → 36.50.135.58:80 | MIXED_TCP | 120s
[2026-06-13 14:37:06.149849] Shady Taro(8994960871) → 50.7.23.74:22 | MIXED_TCP | 300s
[2026-06-13 14:38:09.281092] Shady Taro(8994960871) → 50.7.23.74:22 | L4_UDP | 300s
[2026-06-13 14:39:13.074945] Shady Taro(8994960871) → 47.236.58.244:80 | L4_UDP | 300s
[2026-06-13 14:40:05.882552] Shady Taro(8994960871) → 47.236.58.244:80 | L7_TLS | 300s
[2026-06-13 14:40:44.097306] Shady Taro(8994960871) → 47.236.58.244:80 | MIXED_TCP | 60s
[2026-06-13 14:41:35.054035] Shady Taro(8994960871) → 47.236.58.244:80 | MIXED_TCP | 60s
[2026-06-13 14:44:30.859279] Shady Taro(8994960871) → 47.236.58.244:80 | MIXED_TCP | 60s
